filename,type,suggested scene,used on
wolverhampton-plumbing-hero.jpg,hero,"realistic modern kitchen/bathroom plumbing scene, no fake company branding",homepage
wolverhampton-area-coverage.jpg,hero,subtle Wolverhampton homes/service area visual,areas hub
plumbing-advice-hub-wolverhampton.jpg,hero,clean plumbing tools and notebook/advice scene,advice hub
emergency-plumbing-wolverhampton.jpg,service hero/card,"realistic emergency plumber plumbing scene, clean professional lighting",emergency-plumber-wolverhampton
emergency-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,emergency-plumber-wolverhampton
emergency-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,emergency-plumber-wolverhampton
blocked-drains-wolverhampton.jpg,service hero/card,"realistic blocked drains plumbing scene, clean professional lighting",blocked-drains-wolverhampton
blocked-drains-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,blocked-drains-wolverhampton
blocked-drains-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,blocked-drains-wolverhampton
blocked-toilet-wolverhampton.jpg,service hero/card,"realistic blocked toilet plumbing scene, clean professional lighting",blocked-toilet-wolverhampton
blocked-toilet-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,blocked-toilet-wolverhampton
blocked-toilet-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,blocked-toilet-wolverhampton
leak-repair-wolverhampton.jpg,service hero/card,"realistic leak repair plumbing scene, clean professional lighting",leak-repair-wolverhampton
leak-repair-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,leak-repair-wolverhampton
leak-repair-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,leak-repair-wolverhampton
tap-repair-wolverhampton.jpg,service hero/card,"realistic tap repair plumbing scene, clean professional lighting",tap-repair-wolverhampton
tap-repair-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,tap-repair-wolverhampton
tap-repair-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,tap-repair-wolverhampton
kitchen-plumbing-wolverhampton.jpg,service hero/card,"realistic kitchen plumbing plumbing scene, clean professional lighting",kitchen-plumber-wolverhampton
kitchen-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,kitchen-plumber-wolverhampton
kitchen-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,kitchen-plumber-wolverhampton
bathroom-plumbing-wolverhampton.jpg,service hero/card,"realistic bathroom plumbing plumbing scene, clean professional lighting",bathroom-plumber-wolverhampton
bathroom-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,bathroom-plumber-wolverhampton
bathroom-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,bathroom-plumber-wolverhampton
water-pressure-wolverhampton.jpg,service hero/card,"realistic water pressure plumbing scene, clean professional lighting",water-pressure-plumber-wolverhampton
water-pressure-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,water-pressure-plumber-wolverhampton
water-pressure-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,water-pressure-plumber-wolverhampton
boiler-heating-wolverhampton.jpg,service hero/card,"realistic boiler & heating plumbing scene, clean professional lighting",boiler-heating-plumber-wolverhampton
boiler-heating-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,boiler-heating-plumber-wolverhampton
boiler-heating-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,boiler-heating-plumber-wolverhampton
shower-plumbing-wolverhampton.jpg,service hero/card,"realistic shower plumbing plumbing scene, clean professional lighting",shower-plumber-wolverhampton
shower-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,shower-plumber-wolverhampton
shower-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,shower-plumber-wolverhampton
sink-plumbing-wolverhampton.jpg,service hero/card,"realistic sink plumbing plumbing scene, clean professional lighting",sink-plumber-wolverhampton
sink-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,sink-plumber-wolverhampton
sink-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,sink-plumber-wolverhampton
pipe-repair-wolverhampton.jpg,service hero/card,"realistic pipe repair plumbing scene, clean professional lighting",pipe-repair-wolverhampton
pipe-repair-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,pipe-repair-wolverhampton
pipe-repair-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,pipe-repair-wolverhampton
radiator-plumbing-wolverhampton.jpg,service hero/card,"realistic radiator plumbing plumbing scene, clean professional lighting",radiator-plumber-wolverhampton
radiator-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,radiator-plumber-wolverhampton
radiator-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,radiator-plumber-wolverhampton
washing-machine-plumbing-wolverhampton.jpg,service hero/card,"realistic washing machine plumbing plumbing scene, clean professional lighting",washing-machine-plumbing-wolverhampton
washing-machine-plumbing-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,washing-machine-plumbing-wolverhampton
washing-machine-plumbing-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,washing-machine-plumbing-wolverhampton
stop-tap-plumber-wolverhampton.jpg,service hero/card,"realistic stop tap help plumbing scene, clean professional lighting",stop-tap-plumber-wolverhampton
stop-tap-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,stop-tap-plumber-wolverhampton
stop-tap-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,stop-tap-plumber-wolverhampton
outside-tap-plumber-wolverhampton.jpg,service hero/card,"realistic outside tap plumbing scene, clean professional lighting",outside-tap-plumber-wolverhampton
outside-tap-plumber-wolverhampton-wide.jpg,service supporting photo,wider room context for the same issue,outside-tap-plumber-wolverhampton
outside-tap-plumber-wolverhampton-detail.jpg,service supporting photo,detail angle: valve/pipe/tap/drain/fixture,outside-tap-plumber-wolverhampton
area-bilston-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-bilston
area-bilston-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-bilston
area-bilston-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-bilston
area-wednesfield-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-wednesfield
area-wednesfield-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-wednesfield
area-wednesfield-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-wednesfield
area-tettenhall-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-tettenhall
area-tettenhall-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-tettenhall
area-tettenhall-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-tettenhall
area-penn-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-penn
area-penn-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-penn
area-penn-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-penn
area-bushbury-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-bushbury
area-bushbury-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-bushbury
area-bushbury-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-bushbury
area-compton-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-compton
area-compton-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-compton
area-compton-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-compton
area-finchfield-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-finchfield
area-finchfield-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-finchfield
area-finchfield-bathroom-plumbing.jpg,area support,bathroom plumbing context,plumber-finchfield
area-whitmore-reans-plumbing.jpg,area hero,general realistic home plumbing scene for local area page,plumber-whitmore-reans
area-whitmore-reans-kitchen-leak.jpg,area support,kitchen sink or leak context,plumber-whitmore-reans
